,Gene,Nr2c1,Zbtb3,Rad21,Tal1,Atf1,Smc3,Creb3,Tbp,Mxd1,Mxd4,Ctcfl,Dlx5,Crem,Rfx5,Mesp1,Rfx1,Zfp42,Esx1,Hoxd8,Hoxa4,Fev,Rfx2,Etv2,Creb3l4,Rfx4,Hsfy2
70,Igsf11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.66165241371447,0.0
71,Fam178b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3843254440349004,0.0,0.0,0.0
72,Chgb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.757852935965327,0.0,0.0
73,1700010I14Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Hormad1,-13.391890838977107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.983672075377322,-6.372587644842212,0.0,0.0,9.8357242631123,0.0,-2.3624008711765265,-0.9252927201495617,-0.5707557261787306,-66.18053270084812,-1.756826136982432,-10.62955442639351,1.0457299065663763,-59.09510818870759,-57.71307971434514,-16.152558186771913
75,Hunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.75000960059689,12.368220336686383,0.0,0.0,30.36113370853225,-73.44539945629107,-52.56858742430587
76,Stk33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1743551692799046,0.0,0.0,0.0,0.0,-5.181881791751637,0.0,1.6660091456121633,0.0,-0.361741774076001,-3.559826307177602,0.0,-186.4311445022774,-227.719950087336,-112.14497779862533
77,Mbd3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.474197947813406,0.0,0.0,-43.9062725054644,0.0,0.0
78,Hils1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41.8105237298238,0.0,0.0,0.0,5746.804155529805,0.0,-150.19420195055162,0.0,-7.09035862403133,-933.0692443550422,1149.950217536553,0.0,-160.19812946448621,-6695.957556698999,0.0,0.0
79,Spag8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.27044146787522,0.0,-8.613590660572,0.0,0.0,0.0,26.82545129699998,0.0,0.0,-235.306092317456,0.0,-135.26732136765176
80,Rd3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.994359029399676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.859610262430042,-23.10723358573089
81,Myl10,0.0,0.0,0.0,-3.1071078765494313,0.0,-83.64558917385844,0.0,0.0,0.0,0.0,1.264447351494097,0.0,-22.20012837399412,0.0,-73.39340760926144,0.0,-10.93241401033018,31.198369724919278,0.07289567815880965,-486.63997777935725,-25.96357374950181,0.0,-10.640201690181037,-153.4969092830635,0.0,-94.57980157304455
82,Kcnj6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,1700008O03Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Zfp296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.116611809791913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.179857950371621,0.0,0.0,0.0,0.0,0.0
85,Gtf2a1l,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.107841716806279,0.0,0.0,0.0,0.0,0.0,0.0,-42.22293815592284,0.0,0.0,-12.960626360876015,-40.996376678390476,0.0,-112.95028169012033,-15.73529944811358,-58.32302500218393
86,Hsfy2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Ccdc177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Brsk2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9557335822667596,0.0,0.0,-4.346010403916745,-9.332879455031303,-26.79299691212836
89,Scd3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8957908205886476,0.0,0.0,0.0,-16.24833661650108,0.0
90,Tekt2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-233.9819019988777,0.0,0.0,0.0,-12.513479883944758,-388.63077193936317,28.222145319024076,0.0,0.0,-226.05262761811392,-357.0244157498804,0.0
91,Ddx25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.712799767772346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.52261070695701,0.0,0.0,0.0,-10.97606582326096,0.0
92,Tmem63c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.311107662239374,-3.133628416743504,0.0,0.0,0.0,0.0,0.0,-0.9746333641210405,0.0,0.0,3.9681792629124417,0.0,0.0,-56.70688527602189,-34.85191509927845,-51.01366255785759
93,Ly6k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.510511439624285,0.0,0.0,0.0,0.0,0.0,-0.3517031091080046,27.87368568822112,-8.895105060992984,25.393542345159005,31.184713407503526,0.0,0.0,-4.774100516818204,171.97003604258018,0.0
94,Smc3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,Dkkl1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3380664853569,0.0,0.0,0.0,0.0,0.0
96,Necab3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.172599701485029,0.0
97,1700003E16Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,Smpd3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9884508687131641,0.0,0.0,0.0,0.0,0.0
99,Odf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-220.48070428954256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.599171297962286,-75.65128877949394,194.66454790028004,0.0,0.0,0.0,0.0,0.0
100,Angel1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.112906448255412,0.0,0.0,0.0,0.0,0.0
101,Usp44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.675061468116798,0.0,60.42135963797586,0.0,-0.20052934833509603,0.0,0.0,0.0,16.34497389918467,0.0,0.0,0.0,0.0,0.0
102,Foxa3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.927907827559798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
