,Gene,Zbtb3,Rad21,Npas2,Atf1,Smc3,Creb3,Mxi1,Mxd4,Dlx5,Crem,Rfx5,Mesp1,Rfx1,Esx1,Hoxa4,Rfx2,Etv2,Creb3l4,Rfx4,Hsfy2
74,Ccdc27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-118.04656630042156,0.0,0.0
75,Spaca1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-329.6076356822333,0.0,0.0,0.0,0.0,2558.462837734831,0.0,1413.9076241555915,335.87903706822107,0.0,-2637.5171820689707
76,Tdrd1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.915014232161522,0.0,0.0,0.0,2.2752717262763578,-14.250798317921024,0.0
77,Usp44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-128.19853533256844,0.0,235.7498250091828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-163.5899562045499
78,Lhx2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.013462909505874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.26173106898821,-296.2156248058458,8.721825474088606,0.0
79,Paqr5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.48319385404726,0.0
80,Defb36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-347.522520479251,0.0,0.0,0.0,0.0,0.0,0.0,-0.0060745797150664246,0.0
81,Acr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.918867191575535,0.0,0.0,0.0,0.0,-26.640442301560064,357.8692452597923,0.0,0.0,-126.02868974218127,-685.0860470317193,0.0
82,Gtf2a1l,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.404974897094206,0.0,-212.7738586625366,-17.16576817513052,-21.375971236463684
83,Ptprn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0736818917961735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.183281577034073,-8.077749328329801,0.0
84,Prss50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Cxxc5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-140.34424163481486,0.0,0.0
86,Gpr132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Fzr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.436817009353546,0.0,0.0
88,Ccdc13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.520012381363365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.07487815146052,347.18792374728326,-61.15396254906914,-49.166618628168166
89,Amer2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,Nr2c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Mbd3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.045022335966465,0.0,0.0
92,A630023A22Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.97863680053875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9630849752666,0.0
93,Noxred1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.029015579564886,0.0
94,Tssk6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,Nkapl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-161.9300921062901,0.0
96,Dlgap4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.328327929549931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.00998543219714,0.0
