,Gene,Nr2c1,Zbtb3,Nanog,Pbx4,Npas2,Atf1,Smc3,Creb3,Mxi1,Mybl1,Tbp,Mxd4,Alx1,Crem,Rfx5,Mesp1,Zfp42,Hoxd8,Hoxa4,Fev,Rfx2,Creb3l4,Rfx4
437,Elovl2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
438,Mlc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.14622017666743,0.0,0.0,-15.129372972598347,0.0,0.0,0.32931403872027126
439,1700102P08Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
440,Sall3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
441,Dnaic2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.79725701998832,0.0,0.0,0.0
442,Dmrtb1,0.0,-788.1494303291972,0.0,0.0,-0.9149414305449647,0.0,0.0,0.0,0.0,-47.170467070916644,-1792.5151590038993,0.0,-200.52835512052926,-755.069279890774,0.0,-2663.599632004875,-498.0797566442912,-3.0967560431078627,-2972.554505655335,-298.05778025577104,-221.06223766661205,238.40607383420823,-322.4195794643076
443,Fitm1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.65905656918705,20.489770138129042,0.0,0.0,8.50633230402442,0.0,0.0,0.0
444,Lrrc25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1764520389673436,0.0,0.0,0.0
445,Ropn1l,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-857.5831950359534,0.0,0.0,0.0
446,Efcab10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2803.854889424153,0.0,2828.693975178387,1251.4118857373298,0.0,0.0,859.470437350206,-860.0033297453962,-632.2631849532637,-988.0912137174506
447,Pick1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.087030364563496,0.0,0.0,0.0
448,Pdha2,0.0,0.0,0.0,0.0,0.0,-87.82806980997859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.489159519720925,0.0,-645.2241820886258,-217.37889505981565,0.0,0.0,-80.51939294667582,0.0,0.0,0.0
449,Fam228a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6122285227026512,0.0,0.0,-0.2756912128625426,0.0,0.0,0.0
450,Atp6ap1l,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1721.9854649658887,0.0,0.0,0.0,0.0
451,Ptpdc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3570856327759459,0.0,0.0,0.49951531089894047,0.0,0.0,0.0
452,Prss42,0.0,0.0,0.0,0.0,-20.104749227054633,-83.84213218152713,-0.43091808769480056,0.0,0.0,-52.552440574529385,0.0,0.0,-5.711293444802856,391.0227715300926,-26.09610932299648,-256.2806975398206,-125.2520924644148,6.709490370387539,-203.2722563434093,-43.065591202129426,-57.477716928032834,15.396324547987607,-24.824537520068432
453,Elf3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
